Datetime,TNI,cash
2012-09-12 00:00:00+00:00,0.0,500000000.0
2012-09-13 00:00:00+00:00,0.0,500000000.0
2012-09-14 00:00:00+00:00,0.0,500000000.0
2012-09-17 00:00:00+00:00,0.0,500000000.0
2012-09-18 00:00:00+00:00,0.0,500000000.0
2012-09-19 00:00:00+00:00,0.0,500000000.0
2012-09-20 00:00:00+00:00,0.0,500000000.0
2012-09-21 00:00:00+00:00,0.0,500000000.0
2012-09-24 00:00:00+00:00,0.0,500000000.0
2012-09-25 00:00:00+00:00,0.0,500000000.0
2012-09-26 00:00:00+00:00,0.0,500000000.0
2012-09-27 00:00:00+00:00,0.0,500000000.0
2012-09-28 00:00:00+00:00,0.0,500000000.0
2012-10-01 00:00:00+00:00,0.0,500000000.0
2012-10-02 00:00:00+00:00,0.0,500000000.0
2012-10-03 00:00:00+00:00,0.0,500000000.0
2012-10-04 00:00:00+00:00,0.0,500000000.0
2012-10-05 00:00:00+00:00,0.0,500000000.0
2012-10-08 00:00:00+00:00,0.0,500000000.0
2012-10-09 00:00:00+00:00,0.0,500000000.0
2012-10-10 00:00:00+00:00,0.0,500000000.0
2012-10-11 00:00:00+00:00,0.0,500000000.0
2012-10-12 00:00:00+00:00,0.0,500000000.0
2012-10-15 00:00:00+00:00,0.0,500000000.0
2012-10-16 00:00:00+00:00,0.0,500000000.0
2012-10-17 00:00:00+00:00,0.0,500000000.0
2012-10-18 00:00:00+00:00,0.0,500000000.0
2012-10-19 00:00:00+00:00,0.0,500000000.0
2012-10-22 00:00:00+00:00,0.0,97685487.86497529
2012-10-23 00:00:00+00:00,0.0,97685487.86497529
2012-10-24 00:00:00+00:00,0.0,97685487.86497529
2012-10-25 00:00:00+00:00,0.0,97685487.86497529
2012-10-26 00:00:00+00:00,0.0,97685487.86497529
2012-10-29 00:00:00+00:00,0.0,100451217.17462455
2012-10-30 00:00:00+00:00,0.0,100451217.17462455
2012-10-31 00:00:00+00:00,0.0,100451217.17462455
2012-11-01 00:00:00+00:00,0.0,100451217.17462455
2012-11-02 00:00:00+00:00,0.0,100451217.17462455
2012-11-05 00:00:00+00:00,0.0,92526218.64901054
2012-11-06 00:00:00+00:00,0.0,92526218.64901054
2012-11-07 00:00:00+00:00,0.0,92526218.64901054
2012-11-08 00:00:00+00:00,0.0,92526218.64901054
2012-11-09 00:00:00+00:00,0.0,92526218.64901054
2012-11-12 00:00:00+00:00,0.0,93975111.4831565
2012-11-13 00:00:00+00:00,0.0,93975111.4831565
2012-11-14 00:00:00+00:00,0.0,93975111.4831565
2012-11-15 00:00:00+00:00,0.0,93975111.4831565
2012-11-16 00:00:00+00:00,0.0,93975111.4831565
2012-11-19 00:00:00+00:00,0.0,94399492.93677399
2012-11-20 00:00:00+00:00,0.0,94399492.93677399
