Date,Close,High,Low,Open,Volume
2001-08-10,6.1917,6.186,6.186,6.186,92100.0
2001-08-13,5.7789,5.7736,5.7736,5.7736,13700.0
2001-08-15,5.4177,5.4128,5.4128,5.4128,9000.0
2001-08-17,5.0462,5.0416,5.0416,5.0416,17300.0
2001-08-20,4.7057,4.7014,4.7014,4.7014,62400.0
2001-08-22,5.0256,5.021,5.021,5.021,54000.0
2001-08-24,4.6747,4.6704,4.6704,4.6704,19200.0
2001-08-27,4.3548,4.3508,4.3508,4.3508,2600.0
2001-08-29,4.0556,4.0518,4.0518,4.0518,9900.0
2001-08-31,4.3342,4.3302,4.3302,4.3302,135800.0
2001-09-05,4.6334,4.6292,4.6292,4.6292,24300.0
2001-09-07,4.6334,4.6292,4.6292,4.6292,109000.0
2001-09-10,4.3135,4.3096,4.3096,4.3096,60000.0
2001-09-12,4.3239,4.3199,4.3199,4.3199,54800.0
2001-09-14,4.0556,4.0518,4.0518,4.0518,44200.0
2001-09-17,4.0556,4.0518,4.0518,4.0518,44400.0
2001-09-19,4.1278,4.124,4.124,4.124,37200.0
2001-09-21,4.1278,4.124,4.124,4.124,29600.0
2001-09-24,3.8698,3.8663,3.8663,3.8663,23700.0
2001-09-26,3.7563,3.7528,3.7528,3.7528,41100.0
2001-09-28,3.6634,3.6601,3.6601,3.6601,42100.0
2001-10-01,3.4157,3.4126,3.4126,3.4126,10800.0
2001-10-03,3.1784,3.1755,3.1755,3.1755,17900.0
2001-10-05,2.9617,2.9589999999999996,2.9589999999999996,2.9589999999999996,17800.0
2001-10-08,3.1681,3.1652,3.1652,3.1652,47800.0
2001-10-10,3.23,3.227,3.227,3.227,300.0
2001-10-12,3.2919,3.2889,3.2889,3.2889,100.0
2001-10-15,3.3538,3.3508,3.3508,3.3508,14100.0
2001-10-17,3.4157,3.4126,3.4126,3.4126,9000.0
2001-10-19,3.4777,3.4745,3.4745,3.4745,8000.0
2001-10-22,3.5396,3.5363,3.5363,3.5363,6000.0
2001-10-24,3.6015,3.5982,3.5982,3.5982,10000.0
2001-10-26,3.6634,3.6601,3.6601,3.6601,17900.0
2001-10-29,3.7356,3.7322,3.7322,3.7322,322200.0
2001-10-31,3.8079,3.8044,3.8044,3.8044,37200.0
2001-11-02,3.8801,3.8766,3.8766,3.8766,20200.0
2001-11-05,3.9524,3.9487,3.9487,3.9487,13900.0
2001-11-07,4.0246,4.0209,4.0209,4.0209,10800.0
2001-11-09,4.0968,4.0931,4.0931,4.0931,14800.0
2001-11-12,4.1691,4.1652,4.1652,4.1652,14300.0
2001-11-14,4.2516,4.2477,4.2477,4.2477,3500.0
2001-11-16,4.3342,4.3302,4.3302,4.3302,6500.0
2001-11-19,4.4167,4.4127,4.4127,4.4127,15800.0
2001-11-21,4.3342,4.3302,4.3302,4.3302,105200.0
2001-11-23,4.2516,4.2477,4.2477,4.2477,20400.0
2001-11-26,4.3342,4.3302,4.3302,4.3302,150300.0
2001-11-28,4.2516,4.2477,4.2477,4.2477,34800.0
2001-11-30,4.1691,4.1652,4.1652,4.1652,1800.0
2001-12-03,4.0865,4.0828,4.0828,4.0828,1100.0
2001-12-05,4.0143,4.0106,4.0106,4.0106,800.0
2001-12-07,3.9419999999999997,3.9384,3.9384,3.9384,8400.0
2001-12-10,3.8698,3.8663,3.8663,3.8663,22100.0
2001-12-12,3.7976,3.7941,3.7941,3.7941,9200.0
2001-12-14,3.7253,3.7219,3.7219,3.7219,6300.0
2001-12-17,3.6531,3.6497,3.6497,3.6497,4300.0
2001-12-19,3.5809,3.5776,3.5776,3.5776,2500.0
2001-12-21,3.6428,3.6394,3.6394,3.6394,115200.0
2001-12-24,3.5705,3.5673,3.5673,3.5673,30300.0
2001-12-26,3.5086,3.5054,3.5054,3.5054,6800.0
2001-12-28,3.457,3.4539,3.4539,3.4539,3900.0
2001-12-31,3.3951,3.392,3.392,3.392,1700.0
2002-01-02,3.3332,3.3301,3.3301,3.3301,1700.0
2002-01-04,3.2713,3.2683,3.2683,3.2683,1400.0
2002-01-07,3.2094,3.2064,3.2064,3.2064,27200.0
2002-01-09,3.1474,3.1446,3.1446,3.1446,27500.0
2002-01-11,3.0855,3.0827,3.0827,3.0827,14400.0
2002-01-14,3.0339,3.0311,3.0311,3.0311,19200.0
2002-01-16,2.9823,2.9796,2.9796,2.9796,7300.0
2002-01-18,2.9307,2.928,2.928,2.928,5100.0
2002-01-21,2.8791,2.8765,2.8765,2.8765,7300.0
2002-01-23,2.9307,2.928,2.928,2.928,60000.0
2002-01-25,2.9823,2.9796,2.9796,2.9796,27200.0
2002-01-28,2.9307,2.928,2.928,2.928,2500.0
2002-01-30,2.9307,2.928,2.928,2.928,129300.0
2002-02-01,2.8275,2.8249,2.8249,2.8249,138600.0
2002-02-04,2.8791,2.8765,2.8765,2.8765,80100.0
2002-02-06,2.9307,2.928,2.928,2.928,48500.0
2002-02-08,2.9307,2.928,2.928,2.928,74900.0
2002-02-18,2.8791,2.8765,2.8765,2.8765,19900.0
2002-02-20,2.8275,2.8249,2.8249,2.8249,45200.0
2002-02-22,2.7759,2.7734,2.7734,2.7734,28800.0
2002-02-25,2.7243,2.7218,2.7218,2.7218,17700.0
2002-02-27,2.6727,2.6703,2.6703,2.6703,35600.0
2002-03-01,2.7243,2.7218,2.7218,2.7218,93000.0
2002-03-04,2.6727,2.6703,2.6703,2.6703,77700.0
2002-03-05,2.6211,2.6187,2.6187,2.6187,21500.0
2002-03-06,2.5695,2.5672,2.5672,2.5672,30500.0
2002-03-07,2.5283,2.526,2.526,2.526,21700.0
2002-03-08,2.487,2.4847,2.4847,2.4847,77400.0
2002-03-11,2.487,2.4847,2.4847,2.4847,113000.0
2002-03-12,2.5283,2.526,2.526,2.526,24100.0
2002-03-13,2.5695,2.5672,2.5672,2.5672,12000.0
2002-03-14,2.6108,2.6084,2.6084,2.6084,1900.0
2002-03-15,2.6624,2.66,2.66,2.66,101600.0
